"","Name","Subtitle","Acceleration(sec)","TopSpeed(km/h)","Range(km)","Efficiency(Wh/km)","FastChargeSpeed(km/h)","Drive","NumberofSeats","PriceinGermany(â,¬)","PriceinUK(Â£)"
"96","Tesla Model 3 Long Range Dual Motor","Battery Electric Vehicle |       70 kWh ",4.4,233,455,154,570,"All Wheel Drive",5,NA,48490
"97","Tesla Model 3 Performance","Battery Electric Vehicle |       76 kWh ",3.3,261,470,162,790,"All Wheel Drive",5,NA,59990
"98","Fiat 500e Hatchback 24 kWh","Battery Electric Vehicle |       23.8 kWh ",9.5,135,165,144,260,"Front Wheel Drive",4,NA,20495
"99","Fiat 500e 3+1","Battery Electric Vehicle |       37.3 kWh ",9,150,245,152,410,"Front Wheel Drive",4,NA,NA
"100","Mercedes EQC 400 4MATIC","Battery Electric Vehicle |       80 kWh",5.1,180,370,216,440,"All Wheel Drive",5,NA,65720
"101","Kia e-Niro 64 kWh","Battery Electric Vehicle |       64 kWh",7.8,167,370,173,350,"Front Wheel Drive",5,NA,32445
"102","Kia e-Niro 39 kWh","Battery Electric Vehicle |       39.2 kWh",9.8,155,235,167,230,"Front Wheel Drive",5,NA,30345
"103","Citroen e-SpaceTourer XS 50 kWh","Battery Electric Vehicle |       45 kWh ",12.1,130,185,243,250,"Front Wheel Drive",7,NA,NA
"104","Citroen e-SpaceTourer M 50 kWh","Battery Electric Vehicle |       45 kWh ",12.1,130,185,243,250,"Front Wheel Drive",7,NA,31995
"105","Citroen e-SpaceTourer XL 50 kWh","Battery Electric Vehicle |       45 kWh ",12.1,130,180,250,240,"Front Wheel Drive",7,NA,NA
"106","Citroen e-SpaceTourer M 75 kWh","Battery Electric Vehicle |       68 kWh ",13.3,130,270,252,290,"Front Wheel Drive",7,NA,NA
"107","Citroen e-SpaceTourer XL 75 kWh","Battery Electric Vehicle |       68 kWh ",13.3,130,270,252,290,"Front Wheel Drive",7,NA,NA
"108","Opel Zafira-e Life S 50 kWh","Battery Electric Vehicle |       45 kWh ",12.1,130,185,243,250,"Front Wheel Drive",7,NA,NA
"109","Opel Zafira-e Life M 50 kWh","Battery Electric Vehicle |       45 kWh ",12.1,130,185,243,250,"Front Wheel Drive",7,NA,NA
"110","Opel Zafira-e Life L 50 kWh","Battery Electric Vehicle |       45 kWh ",12.1,130,180,250,240,"Front Wheel Drive",7,NA,49465
"111","Opel Zafira-e Life M 75 kWh","Battery Electric Vehicle |       68 kWh ",13.3,130,270,252,290,"Front Wheel Drive",7,NA,NA
"112","Opel Zafira-e Life L 75 kWh","Battery Electric Vehicle |       68 kWh ",13.3,130,270,252,290,"Front Wheel Drive",7,NA,NA
"113","Peugeot e-Traveller Compact 50 kWh","Battery Electric Vehicle |       45 kWh ",12.1,130,185,243,250,"Front Wheel Drive",7,NA,NA
"114","Peugeot e-Traveller Standard 50 kWh","Battery Electric Vehicle |       45 kWh ",13.1,130,185,243,250,"Front Wheel Drive",7,NA,49065
"115","Peugeot e-Traveller Long 50 kWh","Battery Electric Vehicle |       45 kWh ",13.1,130,185,243,250,"Front Wheel Drive",7,NA,49905
